INSEE,Commune,Nombre de réponses (après filtrage),Note moyenne,Type de commune,Services et stationnement,Efforts de la Commune,Confort,Securité,Ressenti général
38185,Grenoble,2847,4.25,grandes villes,4.06,4.48,4.41,4.09,4.22
67482,Strasbourg,2150,4.14,grandes villes,3.98,4.27,4.22,4.05,4.13
35238,Rennes,2173,3.71,grandes villes,3.88,3.84,3.65,3.37,3.79
74010,Annecy,1548,3.68,grandes villes,3.91,4.03,3.77,3.25,3.55
44109,Nantes,3469,3.62,grandes villes,3.84,3.68,3.59,3.33,3.66
69123,Lyon,4693,3.49,grandes villes,3.65,3.62,3.53,3.19,3.5
49007,Angers,1246,3.46,grandes villes,3.83,3.42,3.45,3.13,3.5
76351,Le Havre,767,3.46,grandes villes,3.69,3.53,3.24,3.29,3.52
37261,Tours,1359,3.45,grandes villes,3.69,3.67,3.34,3.16,3.45
33063,Bordeaux,2021,3.42,grandes villes,3.61,3.51,3.31,3.22,3.43
14118,Caen,1331,3.37,grandes villes,3.74,3.34,3.38,3.08,3.35
75056,Paris,8854,3.32,grandes villes,3.4,3.62,3.31,3.07,3.27
21231,Dijon,1099,3.23,grandes villes,3.95,2.99,3.06,2.9,3.23
25056,Besançon,917,3.17,grandes villes,3.73,3.22,3.24,2.66,3.09
34172,Montpellier,3632,3.15,grandes villes,3.36,3.58,2.82,2.88,3.2
72181,Le Mans,1089,3.14,grandes villes,3.79,2.9,3.03,2.75,3.22
29019,Brest,1671,3.13,grandes villes,3.77,3.01,3.09,2.78,3.09
59350,Lille,1911,3.11,grandes villes,3.56,2.89,3.06,2.87,3.13
76540,Rouen,817,3.09,grandes villes,3.51,3.21,2.95,2.78,3.09
68224,Mulhouse,379,3.06,grandes villes,3.71,2.87,3.08,2.78,2.93
45234,Orléans,893,3.01,grandes villes,3.65,2.82,2.99,2.7,2.92
31555,Toulouse,4517,2.98,grandes villes,3.48,2.69,3.07,2.69,2.98
51454,Reims,945,2.97,grandes villes,3.37,3.06,2.96,2.58,2.98
57463,Metz,720,2.95,grandes villes,3.46,2.64,2.98,2.69,2.95
54395,Nancy,1026,2.94,grandes villes,3.64,2.83,2.89,2.65,2.79
63113,Clermont-Ferrand,1017,2.79,grandes villes,3.68,2.76,2.67,2.31,2.65
80021,Amiens,866,2.71,grandes villes,3.42,2.52,2.62,2.37,2.67
87085,Limoges,333,2.69,grandes villes,3.41,2.7,2.33,2.37,2.74
06088,Nice,618,2.65,grandes villes,3.18,2.59,2.43,2.43,2.63
97415,Saint-Paul,207,2.64,grandes villes,2.77,2.66,2.46,2.42,2.86
13001,Aix-en-Provence,714,2.59,grandes villes,3.08,2.54,2.57,2.3,2.56
66136,Perpignan,292,2.57,grandes villes,2.83,2.37,2.81,2.31,2.58
42218,Saint-Étienne,722,2.49,grandes villes,3.38,2.33,2.36,2.1,2.41
97411,Saint-Denis,306,2.43,grandes villes,2.43,2.44,2.4,2.31,2.59
83137,Toulon,350,2.42,grandes villes,2.59,2.32,2.46,2.3,2.48
30189,Nîmes,555,2.39,grandes villes,3.0,2.26,2.26,2.04,2.46
13055,Marseille,2390,1.99,grandes villes,2.76,1.96,1.82,1.71,1.84
