INSEE,Commune,Nombre de réponses (après filtrage),Note moyenne,Type de commune,Services et stationnement,Efforts de la Commune,Confort,Securité,Ressenti général
22016,Île-de-Bréhat,77,4.68,îles,4.65,4.41,4.41,4.84,4.86
29155,Ouessant,64,4.41,îles,4.85,3.93,3.92,4.53,4.56
85113,L'Île-d'Yeu,171,3.89,îles,4.08,3.68,3.54,4.02,3.97
