INSEE,Commune,Nombre de réponses (après filtrage),Note moyenne,Type de commune,Services et stationnement,Efforts de la Commune,Confort,Securité,Ressenti général
17300,La Rochelle,1051,4.04,villes moyennes,4.1,4.3,3.99,3.78,4.05
73065,Chambéry,858,3.82,villes moyennes,4.25,3.64,3.8,3.56,3.82
01053,Bourg-en-Bresse,278,3.81,villes moyennes,4.36,4.05,3.77,3.31,3.7
67180,Haguenau,95,3.8,villes moyennes,4.14,3.8,3.94,3.47,3.71
90010,Belfort,138,3.76,villes moyennes,3.9,3.55,3.83,3.59,3.83
72154,La Flèche,162,3.69,villes moyennes,4.08,3.68,3.65,3.31,3.76
85194,Les Sables-d'Olonne,305,3.67,villes moyennes,4.0,3.77,3.62,3.28,3.71
73008,Aix-les-Bains,162,3.62,villes moyennes,4.16,3.54,3.63,3.25,3.55
56121,Lorient,612,3.6,villes moyennes,4.07,3.66,3.6,3.17,3.59
59183,Dunkerque,382,3.6,villes moyennes,3.38,3.84,3.63,3.45,3.7
39198,Dole,77,3.58,villes moyennes,3.74,3.61,3.56,3.39,3.63
52448,Saint-Dizier,72,3.51,villes moyennes,3.18,3.68,3.58,3.41,3.67
85146,Montaigu-Vendée,63,3.49,villes moyennes,3.24,3.53,3.37,3.42,3.78
38193,L'Isle-d'Abeau,67,3.47,villes moyennes,3.31,3.55,3.22,3.48,3.72
38553,Villefontaine,60,3.47,villes moyennes,3.05,3.33,3.25,3.57,3.97
34003,Agde,70,3.46,villes moyennes,3.58,3.26,3.18,3.42,3.72
08105,Charleville-Mézières,186,3.45,villes moyennes,3.46,3.98,3.22,3.16,3.54
49331,Segré-en-Anjou Bleu,50,3.44,villes moyennes,3.42,3.46,3.49,3.21,3.62
34154,Mauguio,190,3.44,villes moyennes,2.65,3.79,3.68,3.28,3.78
18279,Vierzon,83,3.41,villes moyennes,3.4,3.48,3.32,3.27,3.55
77284,Meaux,103,3.4,villes moyennes,3.93,3.81,3.0,2.97,3.4
44184,Saint-Nazaire,1004,3.39,villes moyennes,3.9,3.31,3.25,3.08,3.44
03310,Vichy,94,3.39,villes moyennes,4.03,3.4,3.03,3.09,3.42
34108,Frontignan,77,3.37,villes moyennes,3.36,3.49,3.42,3.18,3.41
33529,La Teste-de-Buch,77,3.37,villes moyennes,3.84,3.13,3.17,3.19,3.45
62041,Arras,193,3.36,villes moyennes,4.01,3.49,3.19,2.92,3.29
22113,Lannion,259,3.35,villes moyennes,4.06,3.63,3.1,2.77,3.35
67462,Sélestat,87,3.35,villes moyennes,3.58,3.07,3.27,3.34,3.39
26362,Valence,462,3.34,villes moyennes,3.94,3.16,3.24,3.0,3.35
57631,Sarreguemines,58,3.34,villes moyennes,3.76,3.1,3.3,3.27,3.24
53062,Château-Gontier-sur-Mayenne,77,3.34,villes moyennes,3.76,3.62,3.4,2.82,3.29
59178,Douai,139,3.33,villes moyennes,3.54,3.35,3.37,3.03,3.38
44131,Pornic,177,3.32,villes moyennes,3.73,3.31,3.28,2.94,3.36
53130,Laval,537,3.29,villes moyennes,3.85,3.55,3.14,2.86,3.2
86066,Châtellerault,69,3.28,villes moyennes,3.69,3.34,3.1,2.92,3.41
68066,Colmar,250,3.28,villes moyennes,3.61,3.23,3.06,3.15,3.31
86194,Poitiers,633,3.26,villes moyennes,3.65,3.79,2.98,2.85,3.22
85109,Les Herbiers,64,3.26,villes moyennes,3.19,3.37,3.24,3.07,3.43
62765,Saint-Omer,65,3.25,villes moyennes,3.97,3.69,3.1,2.61,3.13
