INSEE,Commune,Nombre de réponses (après filtrage),Note moyenne,Type de commune,Services et stationnement,Efforts de la Commune,Confort,Securité,Ressenti général
01053,Bourg-en-Bresse,323,4.4,villes moyennes,4.85,4.59,4.4,4.05,4.27
88160,Épinal,90,4.13,villes moyennes,4.75,4.35,4.04,3.71,4.0
17300,La Rochelle,750,4.09,villes moyennes,4.53,4.31,4.0,3.76,4.01
50129,Cherbourg-en-Cotentin,500,4.04,villes moyennes,4.43,4.4,3.93,3.58,4.03
73065,Chambéry,823,4.03,villes moyennes,4.57,3.88,4.12,3.75,3.92
67180,Haguenau,44,3.98,villes moyennes,4.41,3.77,4.02,3.83,3.92
53062,Château-Gontier-sur-Mayenne,132,3.96,villes moyennes,3.98,4.27,4.09,3.56,3.98
85109,Les Herbiers,85,3.96,villes moyennes,3.88,4.4,3.92,3.65,3.99
59183,Dunkerque,151,3.92,villes moyennes,3.95,4.09,3.98,3.71,3.9
97407,Le Port,39,3.84,villes moyennes,3.48,3.9,3.72,3.82,4.05
85194,Les Sables-d'Olonne,279,3.83,villes moyennes,4.46,3.92,3.72,3.44,3.8
33199,Gujan-Mestras,43,3.82,villes moyennes,4.17,3.86,3.72,3.63,3.77
90010,Belfort,225,3.77,villes moyennes,4.15,3.73,3.79,3.48,3.74
44184,Saint-Nazaire,511,3.75,villes moyennes,4.4,3.89,3.54,3.39,3.7
72154,La Flèche,67,3.72,villes moyennes,4.21,3.75,3.54,3.52,3.67
49328,Saumur,106,3.7,villes moyennes,4.43,3.64,3.53,3.29,3.73
86066,Châtellerault,162,3.7,villes moyennes,4.05,3.87,3.73,3.21,3.76
86194,Poitiers,288,3.69,villes moyennes,4.03,4.17,3.54,3.26,3.66
38193,L'Isle-d'Abeau,48,3.66,villes moyennes,3.72,3.87,3.63,3.36,3.75
73008,Aix-les-Bains,205,3.63,villes moyennes,4.21,3.5,3.63,3.34,3.56
38553,Villefontaine,50,3.63,villes moyennes,3.51,3.4,3.39,3.64,3.95
22113,Lannion,129,3.59,villes moyennes,4.31,3.84,3.47,3.02,3.6
08105,Charleville-Mézières,71,3.59,villes moyennes,4.18,3.7,3.51,3.15,3.58
91386,Mennecy,48,3.58,villes moyennes,3.19,3.64,3.48,3.63,3.76
39300,Lons-le-Saunier,150,3.58,villes moyennes,4.07,3.74,3.61,3.15,3.54
18033,Bourges,149,3.57,villes moyennes,4.14,3.81,3.32,3.18,3.58
29103,Landerneau,49,3.56,villes moyennes,4.7,3.57,3.04,3.25,3.5
33243,Libourne,151,3.56,villes moyennes,4.35,3.55,3.48,3.09,3.55
49023,Beaupréau-en-Mauges,55,3.56,villes moyennes,3.63,3.82,3.48,3.3,3.63
12145,Millau,193,3.55,villes moyennes,4.08,3.77,3.42,3.16,3.54
56260,Vannes,532,3.55,villes moyennes,3.87,3.71,3.47,3.23,3.58
85191,La Roche-sur-Yon,361,3.54,villes moyennes,4.22,3.55,3.47,3.08,3.55
41018,Blois,245,3.51,villes moyennes,3.94,3.56,3.49,3.2,3.48
85146,Montaigu-Vendée,151,3.49,villes moyennes,3.55,3.54,3.43,3.31,3.61
33529,La Teste-de-Buch,12,3.47,villes moyennes,3.92,3.27,3.4,3.39,3.44
59043,Bailleul,68,3.47,villes moyennes,3.71,3.64,3.39,3.25,3.45
62765,Saint-Omer,89,3.46,villes moyennes,4.09,3.65,3.43,3.05,3.37
42279,Saint-Just-Saint-Rambert,59,3.46,villes moyennes,3.49,3.64,3.33,3.28,3.56
33122,Cestas,52,3.46,villes moyennes,2.84,3.45,3.37,3.67,3.7
28085,Chartres,332,3.44,villes moyennes,3.8,3.4,3.43,3.15,3.49
84007,Avignon,541,3.42,villes moyennes,4.0,3.55,3.43,2.98,3.37
34154,Mauguio,78,3.42,villes moyennes,3.25,3.41,3.47,3.2,3.65
68066,Colmar,198,3.41,villes moyennes,3.83,3.36,3.29,3.19,3.45
35360,Vitré,78,3.41,villes moyennes,3.71,3.45,3.49,2.99,3.49
59178,Douai,109,3.41,villes moyennes,4.03,3.36,3.33,3.04,3.43
44131,Pornic,120,3.4,villes moyennes,4.06,3.27,3.32,3.09,3.41
62160,Boulogne-sur-Mer,29,3.4,villes moyennes,4.03,3.1,3.21,3.23,3.45
54528,Toul,34,3.39,villes moyennes,4.22,3.52,3.29,2.85,3.34
64445,Pau,873,3.38,villes moyennes,3.91,3.22,3.36,3.0,3.49
34003,Agde,56,3.36,villes moyennes,3.64,3.07,3.15,3.41,3.44
89387,Sens,79,3.36,villes moyennes,3.75,3.3,3.29,3.09,3.43
56121,Lorient,256,3.36,villes moyennes,4.13,3.17,3.38,2.98,3.33
41269,Vendôme,111,3.35,villes moyennes,3.56,3.27,3.34,3.13,3.44
64260,Hendaye,101,3.34,villes moyennes,3.72,3.41,3.59,2.84,3.31
53130,Laval,396,3.34,villes moyennes,4.06,3.44,3.31,2.86,3.28
22278,Saint-Brieuc,620,3.33,villes moyennes,4.12,3.25,3.24,2.92,3.31
59295,Hazebrouck,45,3.32,villes moyennes,3.45,3.57,3.19,3.12,3.37
26362,Valence,417,3.32,villes moyennes,4.02,3.11,3.21,2.99,3.36
81004,Albi,222,3.31,villes moyennes,3.65,3.21,3.39,2.99,3.35
24322,Périgueux,53,3.31,villes moyennes,4.15,3.26,3.32,2.93,3.17
35288,Saint-Malo,283,3.29,villes moyennes,4.12,3.29,3.19,2.78,3.3
60159,Compiègne,208,3.29,villes moyennes,3.69,3.27,3.27,3.01,3.32
19031,Brive-la-Gaillarde,111,3.28,villes moyennes,4.15,3.11,3.31,2.8,3.23
49331,Segré-en-Anjou Bleu,43,3.28,villes moyennes,3.37,3.19,3.36,2.97,3.46
63300,Riom,81,3.27,villes moyennes,3.97,3.2,3.27,2.83,3.26
62041,Arras,167,3.27,villes moyennes,4.07,3.24,3.08,2.89,3.25
36044,Châteauroux,93,3.25,villes moyennes,3.38,3.16,2.97,3.16,3.47
17306,Royan,100,3.25,villes moyennes,4.19,3.09,3.14,2.89,3.18
49301,Sèvremoine,56,3.24,villes moyennes,3.32,3.28,3.09,3.06,3.42
45208,Montargis,44,3.22,villes moyennes,3.82,2.89,3.18,3.03,3.27
63178,Issoire,64,3.2,villes moyennes,4.11,2.84,3.05,2.81,3.31
71270,Mâcon,246,3.2,villes moyennes,3.4,3.14,3.23,2.91,3.31
21054,Beaune,34,3.2,villes moyennes,3.75,2.99,3.06,3.04,3.2
67462,Sélestat,35,3.19,villes moyennes,3.89,2.58,3.1,3.13,3.24
64102,Bayonne,172,3.19,villes moyennes,3.98,2.97,3.15,2.88,3.14
51108,Châlons-en-Champagne,113,3.19,villes moyennes,3.75,3.1,3.11,2.94,3.17
47323,Villeneuve-sur-Lot,96,3.18,villes moyennes,3.46,3.19,3.12,2.9,3.29
42147,Montbrison,93,3.17,villes moyennes,3.8,3.1,3.24,2.72,3.18
68297,Saint-Louis,84,3.17,villes moyennes,3.58,3.09,3.04,3.09,3.13
50502,Saint-Lô,121,3.16,villes moyennes,3.99,3.15,2.88,2.77,3.24
60057,Beauvais,203,3.16,villes moyennes,3.82,3.15,2.94,2.89,3.17
02691,Saint-Quentin,85,3.16,villes moyennes,3.74,3.32,3.2,2.63,3.15
62193,Calais,139,3.16,villes moyennes,4.02,2.97,3.08,2.81,3.13
34108,Frontignan,69,3.16,villes moyennes,3.49,3.12,3.29,2.92,3.11
56083,Hennebont,72,3.14,villes moyennes,3.76,3.26,2.94,2.81,3.14
64024,Anglet,87,3.14,villes moyennes,4.04,3.08,3.0,2.72,3.09
17415,Saintes,258,3.13,villes moyennes,3.93,3.11,3.3,2.53,3.08
60175,Creil,34,3.12,villes moyennes,3.65,3.2,2.95,2.97,3.04
79191,Niort,352,3.12,villes moyennes,4.29,3.0,2.96,2.61,3.06
17299,Rochefort,155,3.1,villes moyennes,3.79,2.9,3.18,2.68,3.12
49244,Mauges-sur-Loire,55,3.1,villes moyennes,3.3,3.05,2.94,2.93,3.26
02168,Château-Thierry,32,3.09,villes moyennes,3.4,3.18,2.65,3.05,3.17
27375,Louviers,33,3.09,villes moyennes,3.85,2.9,2.98,2.87,3.03
26058,Bourg-lès-Valence,43,3.09,villes moyennes,3.58,2.84,2.87,2.9,3.25
49092,Chemillé-en-Anjou,64,3.09,villes moyennes,3.79,3.16,2.68,2.74,3.22
