INSEE,Commune,Nombre de réponses (après filtrage),Note moyenne,Type de commune,Services et stationnement,Efforts de la Commune,Confort,Securité,Ressenti général
38185,Grenoble,1465,4.46,grandes villes,4.7,4.58,4.52,4.26,4.28
67482,Strasbourg,1133,4.13,grandes villes,4.34,4.26,4.11,4.01,3.98
69123,Lyon,2767,4.12,grandes villes,4.55,4.37,4.14,3.74,3.96
35238,Rennes,1706,4.03,grandes villes,4.43,4.09,3.92,3.76,4.0
44109,Nantes,2447,3.83,grandes villes,4.42,3.88,3.7,3.51,3.76
74010,Annecy,861,3.83,grandes villes,4.43,4.07,3.82,3.4,3.68
37261,Tours,810,3.79,grandes villes,4.34,4.1,3.58,3.44,3.71
33063,Bordeaux,1104,3.74,grandes villes,4.24,3.79,3.59,3.53,3.67
14118,Caen,1011,3.67,grandes villes,4.31,3.66,3.55,3.37,3.62
75056,Paris,5039,3.66,grandes villes,4.08,3.82,3.6,3.37,3.56
59350,Lille,1083,3.62,grandes villes,4.11,3.55,3.63,3.34,3.58
25056,Besançon,360,3.6,grandes villes,4.34,3.78,3.62,3.06,3.48
76540,Rouen,682,3.56,grandes villes,4.23,3.65,3.42,3.2,3.5
34172,Montpellier,2599,3.52,grandes villes,3.9,3.8,3.31,3.19,3.53
76351,Le Havre,635,3.5,grandes villes,4.15,3.32,3.21,3.34,3.54
49007,Angers,1513,3.45,grandes villes,4.07,3.3,3.44,3.09,3.47
63113,Clermont-Ferrand,726,3.44,grandes villes,3.94,3.75,3.45,2.95,3.33
54395,Nancy,411,3.4,grandes villes,4.17,3.36,3.37,3.05,3.26
31555,Toulouse,2272,3.38,grandes villes,4.06,3.25,3.32,3.04,3.35
72181,Le Mans,1053,3.37,grandes villes,4.34,3.31,3.19,2.94,3.3
68224,Mulhouse,244,3.35,grandes villes,4.11,3.34,3.17,3.04,3.27
97415,Saint-Paul,236,3.3,grandes villes,3.34,3.28,3.17,3.1,3.51
21231,Dijon,1168,3.25,grandes villes,4.14,3.1,3.07,2.95,3.18
57463,Metz,352,3.24,grandes villes,3.82,3.02,3.24,2.93,3.25
51454,Reims,594,3.09,grandes villes,3.9,2.96,3.0,2.7,3.1
29019,Brest,608,3.07,grandes villes,3.93,2.87,2.98,2.78,3.0
06088,Nice,601,2.9,grandes villes,3.51,2.7,2.72,2.68,2.95
80021,Amiens,517,2.9,grandes villes,3.98,2.55,2.95,2.52,2.81
97411,Saint-Denis,168,2.89,grandes villes,3.32,2.84,2.55,2.73,3.03
45234,Orléans,465,2.88,grandes villes,3.97,2.54,2.77,2.54,2.84
66136,Perpignan,236,2.77,grandes villes,3.29,2.53,2.92,2.48,2.77
83137,Toulon,294,2.69,grandes villes,3.02,2.54,2.65,2.49,2.8
13001,Aix-en-Provence,534,2.68,grandes villes,3.39,2.47,2.62,2.41,2.68
87085,Limoges,495,2.64,grandes villes,3.52,2.46,2.53,2.25,2.67
30189,Nîmes,246,2.61,grandes villes,3.38,2.49,2.43,2.22,2.71
42218,Saint-Étienne,441,2.56,grandes villes,3.64,2.25,2.44,2.18,2.56
13055,Marseille,1668,2.18,grandes villes,3.24,2.01,2.01,1.81,2.14
